author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Dominanta;developer;https://www.cian.ru/sale/flat/304842378/;Москва;sale;flat;27;34;4;130.6;97362300;2028;-1;Монолитно-кирпичный;-1;Предчистовая;89,9 м²;8,7 м²;+74951379581;Раменки;проезд 4-й Сетуньский;10Ас2;Парк Победы;hideOUT
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305176356/;Москва;sale;flat;3;13;4;93.0;79950000;-1;-1;-1;-1;-1;60 м²;20 м²;+79858655936;Раменки;Ломоносовский проспект;36;Ломоносовский проспект;Счастье на Ломоносовском
Sminex;developer;https://www.cian.ru/sale/flat/303463986/;Москва;sale;flat;2;6;4;176.5;360150000;2025;-1;Монолитный;-1;Без отделки;53,4 м²;70,7 м²;+74951347314;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308397529/;Москва;sale;flat;24;40;4;138.0;135000000;-1;-1;-1;-1;-1;-1;20 м²;+79623606761;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
Ташир;developer;https://www.cian.ru/sale/flat/301852553/;Москва;sale;flat;4;17;4;103.7;58020150;2024;-1;Монолитный;-1;Без отделки, предчистовая, черновая, чистовая;67,1 м²;5,8 м²;+74951347286;Раменки;Мичуринский проспект;вл30Б;Ломоносовский проспект;Legacy
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/308068200/;Москва;sale;flat;14;21;4;165.0;200000000;2022;-1;-1;-1;-1;-1;10 м²;+79680709691;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/308237557/;Москва;sale;flat;6;9;4;83.4;29279905;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;54,2 м²;5,3 м²;+74951378725;Головинский;Северный ао;;Коптево;Михалковский ЖК
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/303817767/;Москва;sale;flat;3;13;4;93.0;79950000;-1;-1;-1;-1;-1;66 м²;22 м²;+79653792954;Раменки;Ломоносовский проспект;36;Ломоносовский проспект;Счастье на Ломоносовском
Стадион Спартак;developer;https://www.cian.ru/sale/flat/305088974/;Москва;sale;flat;9;22;4;142.5;97669500;2025;-1;Монолитный;-1;Без отделки;70,3 м²;7,9 м²;+74951387190;Покровское-Стрешнево;Вивальди кв-л;;Спартак;Клубный Город на Реке Примавера ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307587335/;Москва;sale;flat;7;7;4;190.0;140000000;-1;-1;-1;-1;-1;118 м²;25 м²;+79099734492;Беговой;Ленинградский проспект;15С9;Белорусская;Bolshevik
Донстрой;developer;https://www.cian.ru/sale/flat/306643261/;Москва;sale;flat;48;49;4;122.2;54941120;2025;-1;Монолитный;-1;Без отделки;38,3 м²;40,6 м²;+74951387177;Раменки;Кинематографический кв-л;;Мичуринский проспект;Событие ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/270731248/;Москва;sale;flat;24;44;4;200.5;160000000;2017;-1;-1;-1;-1;-1;-1;+79154194125;Раменки;Минская ;2;Минская;Долина Сетунь
Sminex;developer;https://www.cian.ru/sale/flat/306685259/;Москва;sale;flat;2;22;4;149.2;129650000;2026;-1;Монолитный;-1;Без отделки;64,5 м²;33,4 м²;+74951375398;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308709756/;Москва;sale;flat;10;37;4;88.4;72990000;-1;-1;-1;-1;-1;47,9 м²;10 м²;+79175836297;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
Донстрой;developer;https://www.cian.ru/sale/flat/308969242/;Москва;sale;flat;2;12;4;153.6;97689600;2026;-1;Монолитный;-1;Без отделки, чистовая с мебелью;58 м²;26,8 м²;+74951387210;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/308799823/;Москва;sale;flat;4;7;4;173.6;451500000;-1;-1;-1;-1;-1;-1;19 м²;+79660479279;Хамовники; Ефремова;19к2;Спортивная;Knightsbridge Private Park
Sminex;developer;https://www.cian.ru/sale/flat/308011939/;Москва;sale;flat;1;6;4;502.7;1127040000;2026;-1;Монолитно-кирпичный;-1;-;120,1 м²;71,5 м²;+74951474363;Хамовники;3-й Обыденский переулок;1С1;Кропоткинская;Клубный дом Обыденский № 1
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/304787071/;Москва;sale;flat;5;7;4;136.9;220000000;2019;-1;-1;-1;-1;-1;15 м²;+79660513215;Якиманка;2-й Спасоналивковский переулок;6;Октябрьская;Полянка/44
Основа;developer;https://www.cian.ru/sale/flat/286713653/;Москва;sale;flat;11;29;4;94.8;28170768;2022;-1;Монолитный;-1;Без отделки, черновая, чистовая;60,5 м²;10 м²;+74951374248;Фили-Давыдково; Ивана Франко;6;Кунцевская;MainStreet
Елена Подстрешная;realtor;https://www.cian.ru/sale/flat/308858083/;Москва;sale;flat;3;28;4;133.2;41500000;2021;-1;-1;-1;-1;80 м²;33 м²;+79165339960;Филевский парк;Береговой проезд;1Б;Шелепиха;мой адрес На Береговом
Capital Group;developer;https://www.cian.ru/sale/flat/307881023/;Москва;sale;flat;17;18;4;152.4;162520646;2025;-1;-1;-1;Неизвестно;-1;-1;+74951374084;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/308421617/;Москва;sale;flat;29;29;4;167.1;62500000;2008;-1;-1;-1;-1;99,3 м²;28,9 м²;+79153383587;Строгино; Маршала Катукова;24к5;Строгино;Янтарный город
Ташир;developer;https://www.cian.ru/sale/flat/302722337/;Москва;sale;flat;2;16;4;103.7;59627500;2024;-1;Монолитный;-1;Без отделки, черновая, чистовая с мебелью;53,6 м²;-1;+74951478662;Даниловский;Малая Тульская ;2;Тульская;DECO RESIDENCE (Апартаменты премиум-класса)
