author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/299012448/;Москва;sale;flat;9;10;4;115.0;56900000;2022;-1;-1;-1;-1;60,7 м²;10,7 м²;+79057143761;Даниловский;проспект Лихачева;12к3;Технопарк;Квартал на набережной NOW
Донстрой;developer;https://www.cian.ru/sale/flat/306642758/;Москва;sale;flat;16;25;4;115.6;53360960;2025;-1;Монолитный;-1;Без отделки, чистовая, чистовая с мебелью;58,3 м²;28,7 м²;+74951387018;Лефортово;;;Римская;Символ ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307552315/;Москва;sale;flat;5;6;4;95.0;69500000;1910;-1;-1;-1;-1;-1;13,6 м²;+79684858420;Арбат; Арбат;47/23;Смоленская;
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302739670/;Москва;sale;flat;3;42;4;89.5;51500000;-1;-1;-1;-1;-1;50 м²;12 м²;+79104001266;Филевский парк;Багратионовский проезд;5Ак1;Фили;Filicity
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301398832/;Москва;sale;flat;10;27;4;95.1;53000000;2023;-1;-1;-1;-1;51,8 м²;24 м²;+79031127715;Лефортово;проезд Шелихова;3;Площадь Ильича;Символ
