author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
MR Group;developer;https://www.cian.ru/sale/flat/306067924/;Москва;sale;flat;53;57;4;116.52;72195792;2024;-1;Монолитно-кирпичный;-1;Предчистовая;-1;-1;+74951387228;Филевский парк;;;Фили;Фили Сити ЖК
Level Group;developer;https://www.cian.ru/sale/flat/308683238/;Москва;sale;flat;13;13;4;103.9;72443965;2025;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;44,3 м²;29,7 м²;+74951387045;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
ID 68018399;homeowner;https://www.cian.ru/sale/flat/306308532/;Москва;sale;flat;10;16;4;95.6;72400000;2021;-1;-1;-1;-1;-1;25,1 м²;+79647709619;Раменки;проспект Генерала Дорохова;39к1;Минская;Собрание клубных домов West Garden
TOUCH;developer;https://www.cian.ru/sale/flat/305084568/;Москва;sale;flat;7;13;4;129.88;72452704;2024;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951387101;Южнопортовый;;к2;Дубровка;Шампайн ЖК
Центр-Инвест;representative_developer;https://www.cian.ru/sale/flat/308298847/;Москва;sale;flat;3;15;4;131.9;74578750;2022;-1;Монолитный;-1;Без отделки;77,4 м²;18,9 м²;+74951347281;Раменки;Винницкая ;8к3;Раменки;Настоящее
