author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
А101;developer;https://www.cian.ru/sale/flat/308320854/;Москва;sale;flat;10;16;4;93.6;25940491;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;57 м²;12,9 м²;+74951379021;;;;Новомосковская;Скандинавия
Level Group;developer;https://www.cian.ru/sale/flat/308713642/;Москва;sale;flat;11;11;4;85.2;25805100;2026;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;54,4 м²;-1;+74951387153;Нижегородский;;;Нижегородская;Левел Нижегородская ЖК
;;https://www.cian.ru/sale/flat/300756850/;Москва;sale;flat;2;33;4;86.1;25672477;2024;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74992858405;Западное Дегунино; Летчика Осканова;6;Верхние Лихоборы;Тринити-2
Ордер;real_estate_agent;https://www.cian.ru/sale/flat/288648912/;Москва;sale;flat;4;5;4;103.4;25950000;-1;-1;-1;-1;-1;65,8 м²;8 м²;+79154398945;Восточное Измайлово;Измайловский бульвар;60/10;Первомайская;
MR Group;developer;https://www.cian.ru/sale/flat/307999480/;Москва;sale;flat;44;59;4;85.6;29694640;2028;-1;-1;-1;Без отделки;51,8 м²;-1;+74951346358;Можайский;Верейская ;29С32А;Давыдково;SET
