author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/305368506/;Москва;sale;flat;10;14;4;153.0;451350000;2025;-1;-1;-1;Без отделки;115 м²;33 м²;+79660615407;Хамовники;переулок 1-й Тружеников;12;Киевская;Хамовники 12
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/298736311/;Москва;sale;flat;7;8;4;254.3;663208957;-1;-1;-1;-1;-1;-1;-1;+79150452394;Арбат; Арбат;24;Смоленская;Turandot Residences
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305495338/;Москва;sale;flat;5;8;4;286.5;1300000000;-1;-1;-1;-1;-1;115 м²;40 м²;+79099734492;Хамовники; Пречистенка;13;Кропоткинская;Пречистенка 13
Парадайс;real_estate_agent;https://www.cian.ru/sale/flat/308049593/;Москва;sale;flat;2;9;4;62.8;10990000;-1;-1;-1;-1;-1;46,3 м²;7 м²;+79801443843;Матушкино;Зеленоград;к424В;Зеленоград — Крюково;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/307944977/;Москва;sale;flat;13;25;4;110.9;44500000;2022;-1;-1;-1;-1;62,7 м²;13,4 м²;+79857048937;Хорошевский; Маргелова;3к4;Беговая;Авиатика
