author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
CENTURY 21 RnB Estate;real_estate_agent;https://www.cian.ru/sale/flat/307534415/;Москва;sale;flat;14;17;4;137.2;59000000;1997;-1;-1;-1;-1;102 м²;14 м²;+79660627541;Тропарево-Никулино;Никулинская ;27;Озёрная;
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/274265917/;Москва;sale;flat;3;38;4;144.0;59000000;2004;-1;-1;-1;-1;-1;-1;+79660628790;Раменки;Мосфильмовская ;70к1;Минская;Воробьевы Горы
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/298648663/;Москва;sale;flat;7;14;4;96.2;60000000;2023;-1;-1;-1;-1;-1;-1;+79067419125;Раменки;;к10;Минская;Вест Гарден ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/303704488/;Москва;sale;flat;31;48;4;104.8;59995000;2024;-1;-1;-1;Чистовая;57,7 м²;12,4 м²;+79855523853;Ростокино;;;Ботанический сад;Режиссер ЖК
