author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
AFI Development;developer;https://www.cian.ru/sale/flat/303141914/;Москва;sale;flat;24;25;4;139.7;75600901;2024;-1;-1;-1;Без отделки;-1;-1;+74997151506;Обручевский; Академика Челомея;1А;Воронцовская;AFI Park 
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/299881286/;Москва;sale;flat;7;7;4;283.4;500000000;2018;-1;-1;-1;-1;103 м²;10 м²;+79660623375;Пресненский;Электрический переулок;10;Белорусская;Edison House
ДомДау;developer;https://www.cian.ru/sale/flat/292485318/;Москва;sale;flat;63;85;4;153.63;;2027;-1;Монолитный;-1;Черновая;-1;-1;+74951379093;Пресненский;Московский международный деловой центр Москва-Сити тер.;;;Дом Дау
Regions Development;developer;https://www.cian.ru/sale/flat/308071215/;Москва;sale;flat;13;15;4;107.21;52298828;2027;-1;Монолитно-кирпичный;-1;Без отделки;102,2 м²;-1;+74951370547;Преображенское;Жилой комплекс Преображенская площадь;;Преображенская площадь;Преображенская площадь
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/300936966/;Москва;sale;flat;6;9;4;160.0;110000000;1911;-1;-1;-1;-1;-1;22 м²;+79857943691;Хамовники; Знаменка;13С1;Боровицкая;
