author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243037/;Москва;sale;flat;15;23;3;82.8;39578400;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;52,1 м²;10 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308802493/;Москва;sale;flat;10;20;3;110.7;122000000;-1;-1;-1;-1;-1;65 м²;25 м²;+79856120994;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308405573/;Москва;sale;flat;12;12;3;64.1;19999990;1967;-1;-1;-1;-1;44,6 м²;9,2 м²;+79165342774;Академический;Большая Черемушкинская ;20К2;Академическая;
VESPER;developer;https://www.cian.ru/sale/flat/307544571/;Москва;sale;flat;2;21;3;157.8;165216600;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;-1;46,2 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/306567075/;Москва;sale;flat;2;10;3;115.0;101000000;2008;-1;-1;-1;-1;-1;45 м²;+79197672046;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
Марина Кузьмина;realtor;https://www.cian.ru/sale/flat/306000498/;Москва;sale;flat;3;6;3;67.0;19700000;1958;-1;-1;-1;-1;42 м²;20 м²;+79851562819;Нагатино-Садовники;Нагатинская ;29К1;Коломенская;
Tekta Group;developer;https://www.cian.ru/sale/flat/301259721/;Москва;sale;flat;19;42;3;65.9;30201484;2023;-1;Монолитный;-1;Без отделки, предчистовая;28,9 м²;-1;+74951387129;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308825551/;Москва;sale;flat;2;12;3;106.2;53000000;2005;-1;-1;-1;-1;60 м²;16 м²;+79660274811;Хорошевский;Ходынский бульвар;19;ЦСКА;Гранд-парк
BERI;real_estate_agent;https://www.cian.ru/sale/flat/305314134/;Москва;sale;flat;10;16;3;65.7;24990000;1983;-1;-1;-1;-1;40,9 м²;8,4 м²;+79099114698;Таганский;Библиотечная ;13;Площадь Ильича;
Главстрой;developer;https://www.cian.ru/sale/flat/307941294/;Москва;sale;flat;4;20;3;103.7;40291971;2024;-1;Монолитно-кирпичный;-1;Без отделки;35,2 м²;25,5 м²;+74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679858/;Москва;sale;flat;11;20;3;87.02;32910964;2024;-1;-1;-1;-1;39,1 м²;34,3 м²;+79652908569;Даниловский;;;Тульская;Форст ЖК
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308568986/;Москва;sale;flat;5;9;3;59.0;23950000;1970;-1;-1;-1;-1;42,2 м²;6,7 м²;+79099114698;Раменки;Винницкая ;17;Раменки;
VESPER;developer;https://www.cian.ru/sale/flat/308110877/;Москва;sale;flat;4;6;3;264.6;661500000;2027;-1;-1;-1;С отделкой;-1;-1;+74951346294;Пресненский;Трехпрудный переулок;9С2;Пушкинская;Клубный дом Левенсон
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/305736633/;Москва;sale;flat;35;41;3;97.4;95000000;-1;-1;-1;-1;-1;69 м²;7,3 м²;+79646331510;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
ID 12693939;realtor;https://www.cian.ru/sale/flat/308367102/;Москва;sale;flat;24;28;3;71.0;38000000;2021;-1;-1;-1;-1;-1;30 м²;+79660639904;Филевский парк;Береговой проезд;1Б;Шелепиха;мой адрес На Береговом
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040443/;Москва;sale;flat;5;5;3;183.1;174494300;2017;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, черновая;70,9 м²;43,8 м²;+74951387060;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306447297/;Москва;sale;flat;13;21;3;130.0;155000000;-1;-1;-1;-1;-1;-1;20 м²;+79154194704;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308788985/;Москва;sale;flat;8;12;3;94.0;49000000;1972;-1;-1;-1;-1;51 м²;13 м²;+79645643904;Видовая кв-ра в е Мосфильма3-комн. квартира;94 м²;;;
MR Group;developer;https://www.cian.ru/sale/flat/306610279/;Москва;sale;flat;8;59;3;56.1;;2028;-1;Монолитно-кирпичный;-1;Предчистовая;36,1 м²;-1;+74951370518;Можайский;;;Давыдково;Веер ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/302398135/;Москва;sale;flat;5;17;3;105.0;130000000;2017;-1;-1;-1;-1;-1;-1;+79855162121;Пресненский; Сергея Макеева;9к2;Улица 1905 года;RedSide
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/307566350/;Москва;sale;flat;2;16;3;74.0;17800000;-1;-1;-1;-1;-1;50 м²;9 м²;+79660562345;Орехово-Борисово Северное;Каширское шоссе;90к1;Домодедовская;
MR Group;developer;https://www.cian.ru/sale/flat/300288094/;Москва;sale;flat;5;43;3;84.79;40300687;2025;-1;Монолитный;-1;Предчистовая, чистовая;35,7 м²;-1;+74951374843;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/296710178/;Москва;sale;flat;22;31;3;83.0;52000000;2022;-1;-1;-1;-1;-1;-1;+79154194704;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307220600/;Москва;sale;flat;1;5;3;65.1;17500000;-1;-1;-1;-1;-1;36,6 м²;6,7 м²;+79637145462;Марьина роща;4-й Стрелецкий проезд;13;Савёловская;
