author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308711129/;Москва;sale;flat;9;21;3;117.0;115000000;2023;-1;-1;-1;-1;-1;10 м²;+79645660140;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
RND;real_estate_agent;https://www.cian.ru/sale/flat/304510329/;Москва;sale;flat;4;7;3;142.2;49900000;1999;-1;-1;-1;-1;81 м²;12,2 м²;+79670309706;Таганский;2-й Сыромятнический переулок;10;Курская;
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/304149603/;Москва;sale;flat;65;66;3;85.8;84942000;2020;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951370624;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/303016439/;Москва;sale;flat;4;5;3;150.8;195000000;-1;-1;-1;-1;-1;131,8 м²;14 м²;+79651093606;Пресненский;Леонтьевский переулок;11;Тверская;Леонтьевский 11
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/298973372/;Москва;sale;flat;14;36;3;96.0;56000000;2018;-1;-1;-1;-1;33 м²;40 м²;+79645504947;Хорошево-Мневники;Шелепихинская набережная;34к2;Шелепиха;Сердце Столицы
Среда;developer;https://www.cian.ru/sale/flat/303859420/;Москва;sale;flat;3;13;3;71.3;24567484;2027;-1;Монолитный;-1;Предчистовая;47,6 м²;-1;+74997154155;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
MR Group;developer;https://www.cian.ru/sale/flat/307999594/;Москва;sale;flat;6;59;3;58.5;19515600;2028;-1;-1;-1;Без отделки;33,5 м²;-1;+74951346358;Можайский;Верейская ;29С32А;Давыдково;SET
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307962802/;Москва;sale;flat;9;38;3;70.0;32000000;2010;-1;-1;-1;-1;-1;10 м²;+79645682302;Хорошевский;Хорошевское шоссе;12к1;Беговая;Дом на Беговой
Донстрой;developer;https://www.cian.ru/sale/flat/306643206/;Москва;sale;flat;2;49;3;96.5;42189800;2025;-1;Монолитный;-1;Без отделки;39,5 м²;28,3 м²;+74951387177;Раменки;Кинематографический кв-л;;Мичуринский проспект;Событие ЖК
