author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307827226/;Москва;sale;flat;9;16;3;74.3;18500000;-1;-1;-1;-1;-1;36 м²;10 м²;+79660515232;; Лобановский Лес;13;Прокшино;Прокшино
Основа;developer;https://www.cian.ru/sale/flat/293007285/;Москва;sale;flat;6;36;3;61.7;17584500;2026;-1;Монолитный;-1;Без отделки, предчистовая, черновая;51,8 м²;4,9 м²;+74951346369;Ярославский;проспект Мира;222;Ростокино;МИРАПОЛИС
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/294651840/;Москва;sale;flat;5;12;3;136.9;280000000;2021;-1;-1;-1;-1;-1;10 м²;+79684858420;Хамовники; Усачева;13кГ;Спортивная;Садовые кварталы
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307135110/;Москва;sale;flat;9;20;3;64.56;26640000;2024;-1;-1;-1;Чистовая;32,8 м²;12 м²;+79636622623;Даниловский;Автозаводская ;26;Тульская;FORST
А101;developer;https://www.cian.ru/sale/flat/306743069/;Москва;sale;flat;2;13;3;61.5;14785523;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;30,9 м²;18,3 м²;+74951387175;;;к11.2.1;Прокшино;Прокшино ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/301266879/;Москва;sale;flat;25;75;3;187.9;120000000;-1;-1;-1;-1;-1;-1;-1;+79646216364;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/307817649/;Москва;sale;flat;4;25;3;81.0;22900000;-1;-1;-1;-1;-1;44 м²;27 м²;+79153383587;Рязанский; Васильцовский Стан;7к1;Текстильщики;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308089960/;Москва;sale;flat;3;9;3;57.9;23190000;1967;-1;-1;-1;-1;44 м²;5,8 м²;+79629657451;Нагатинский затон;Кленовый бульвар;22;Коломенская;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/305314134/;Москва;sale;flat;10;16;3;65.7;24990000;1983;-1;-1;-1;-1;40,9 м²;8,4 м²;+79099114698;Таганский;Библиотечная ;13;Площадь Ильича;
