author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307651925/;Москва;sale;flat;15;20;3;79.0;45000000;2007;-1;-1;-1;-1;-1;10 м²;+79660605295;Пресненский;Шмитовский проезд;16С1;Москва-Сити;Шмитовский 16
МПБ;real_estate_agent;https://www.cian.ru/sale/flat/308799216/;Москва;sale;flat;9;12;3;85.1;45300000;1953;-1;-1;-1;-1;49,5 м²;16,3 м²;+79853572806;Таганский;Гончарная ;26к1;Таганская;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308996081/;Москва;sale;flat;12;20;3;98.48;45500000;-1;-1;-1;-1;-1;-1;-1;+79645656490;Даниловский;бульвар Братьев Весниных;1;ЗИЛ;ЗИЛАРТ
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/307751513/;Москва;sale;flat;9;17;3;72.0;44500000;2022;-1;-1;-1;-1;40 м²;19,5 м²;+79645662192;Беговой;Северный ао;К2;Белорусская;Слава ЖК
ID 109135729;realtor;https://www.cian.ru/sale/flat/304330222/;Москва;sale;flat;11;12;3;72.9;44900000;-1;-1;-1;-1;-1;-1;-1;+79167370948;Раменки;проспект Генерала Дорохова;39к1Е;Минская;Собрание клубных домов West Garden
ID 413522;realtor;https://www.cian.ru/sale/flat/306890373/;Москва;sale;flat;8;11;3;95.5;54000000;-1;-1;-1;-1;-1;29,8 м²;31,2 м²;+79651071949;Раменки;Винницкая ;8к2;Раменки;Настоящее
СЕДЬМОЕ НЕБО;real_estate_agent;https://www.cian.ru/sale/flat/301565890/;Москва;sale;flat;10;20;3;98.0;54700000;2022;-1;-1;-1;-1;47 м²;15 м²;+79690769686;Алексеевский;Новоалексеевская ;16К5;Алексеевская;Серебряный фонтан
Ярославна Слинько;realtor;https://www.cian.ru/sale/flat/306968615/;Москва;sale;flat;27;28;3;113.2;54900000;2021;-1;-1;-1;-1;-1;25 м²;+79100007251;Лефортово;проезд Невельского;1к1;Авиамоторная;Символ
