author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308800808/;Москва;sale;flat;18;33;3;65.2;44300000;2023;-1;-1;-1;-1;37 м²;10 м²;+79651883932;Хорошево-Мневники;Причальный проезд;10к1;Шелепиха;Level Причальный
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308389554/;Москва;sale;flat;14;14;3;95.0;44920000;1975;-1;-1;-1;-1;65 м²;8 м²;+79645652605;Дорогомилово;Украинский бульвар;5;Киевская;
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308402651/;Москва;sale;flat;18;40;3;85.0;44500000;-1;-1;-1;-1;-1;48,2 м²;21 м²;+79104001266;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305329224/;Москва;sale;flat;3;11;3;69.9;45000000;-1;-1;-1;-1;-1;47,3 м²;8 м²;+79660623833;Басманный;Большая Почтовая ;32;Электрозаводская;Резиденции Архитекторов
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/308252471/;Москва;sale;flat;15;24;3;76.6;45000000;2004;-1;-1;-1;-1;-1;25 м²;+79163506367;Пресненский;Шмитовский проезд;16С1;Москва-Сити;Шмитовский 16
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/299519305/;Москва;sale;flat;27;28;3;110.1;44000000;2021;-1;-1;-1;-1;63,5 м²;10,3 м²;+79057143761;Лефортово;проезд Невельского;1к4;Авиамоторная;Символ
Наргиз Султанова;realtor;https://www.cian.ru/sale/flat/307540414/;Москва;sale;flat;3;5;3;126.3;83000000;1905;-1;-1;-1;-1;-1;36,8 м²;+79161147696;Арбат;Филипповский переулок;18;Арбатская;
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/302461199/;Москва;sale;flat;10;53;3;138.0;85000000;2012;-1;-1;-1;-1;-1;40 м²;+79639769503;Раменки;Мосфильмовская ;8;Ломоносовский проспект;Дом на Мосфильмовской
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306391352/;Москва;sale;flat;4;13;3;114.3;98000000;-1;-1;-1;-1;-1;69,9 м²;18,2 м²;+79652435417;Тверской;Газетный переулок;13С1;Охотный ряд;
