author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ID 413522;realtor;https://www.cian.ru/sale/flat/307478711/;Москва;sale;flat;19;21;3;92.0;65000000;-1;-1;-1;-1;-1;70 м²;15 м²;+79154662536;Раменки;Мосфильмовская ;88к4;Раменки;Мосфильмовский
MadeState;real_estate_agent;https://www.cian.ru/sale/flat/308064330/;Москва;sale;flat;5;19;3;97.36;65000000;2018;-1;-1;-1;-1;-1;20 м²;+79629487521;Хорошево-Мневники;Шелепихинская набережная;34к2зд3;Шелепиха;Сердце Столицы
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/308561617/;Москва;sale;flat;11;12;3;108.2;66000000;2022;-1;-1;-1;-1;-1;8 м²;+79104098971;Аэропорт;Ленинградский проспект;36с30;Динамо;ВТБ Арена парк
Dement City;real_estate_agent;https://www.cian.ru/sale/flat/308347080/;Москва;sale;flat;15;78;3;92.0;66500000;2020;-1;-1;-1;-1;76 м²;10 м²;+79154554630;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/300005946/;Москва;sale;flat;5;6;3;124.0;66890000;1910;-1;-1;-1;-1;70 м²;22 м²;+79647161966;Тверской; Малая Дмитровка;23/15С2;Пушкинская;
ID 413522;realtor;https://www.cian.ru/sale/flat/307671056/;Москва;sale;flat;17;21;3;107.3;67000000;-1;-1;-1;-1;-1;-1;21,1 м²;+79154662536;Раменки;Мосфильмовская ;88к5;Раменки;Мосфильмовский
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308686239/;Москва;sale;flat;8;17;3;145.0;75000000;2006;-1;-1;-1;-1;78,7 м²;-1;+79660545854;Раменки;Мосфильмовская ;70к5;Ломоносовский проспект;Воробьевы Горы
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/304671760/;Москва;sale;flat;2;7;3;74.8;75000000;-1;-1;-1;-1;-1;49 м²;6,5 м²;+79651097939;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Аврора Проперти;real_estate_agent;https://www.cian.ru/sale/flat/304873680/;Москва;sale;flat;3;20;3;131.8;75000000;2006;-1;-1;-1;-1;-1;16 м²;+79652530061;Якиманка; Шаболовка;10к1;Октябрьская;Созвездие Капитал-2
