author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/308262381/;Москва;sale;flat;4;8;3;117.7;185000000;-1;-1;-1;-1;-1;56,2 м²;22 м²;+79165727913;Арбат;Большой Афанасьевский переулок;28;Арбатская;
Правовой центр жилья;real_estate_agent;https://www.cian.ru/sale/flat/308734826/;Москва;sale;flat;3;8;3;121.3;206000000;2023;-1;-1;-1;-1;51 м²;50 м²;+79661298207;Красносельский;Костянский переулок;13;Сретенский бульвар;Клубный дом TURGENEV
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/308564476/;Москва;sale;flat;4;7;3;140.0;211403279;2015;-1;-1;-1;-1;-1;10 м²;+79623659651;Арбат;1-й Смоленский переулок;21;Смоленская;Smolensky De Luxe
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/294650800/;Москва;sale;flat;9;57;3;158.0;212501960;2007;-1;-1;-1;-1;-1;25 м²;+79684858420;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/302072009/;Москва;sale;flat;29;53;3;192.0;240230999;2012;-1;-1;-1;-1;-1;45 м²;+79639769503;Раменки;Мосфильмовская ;8;Ломоносовский проспект;Дом на Мосфильмовской
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/284017557/;Москва;sale;flat;3;6;3;162.0;290000000;2008;-1;-1;-1;-1;71 м²;50 м²;+79645504947;Хамовники;переулок Хилков;5;Парк Культуры;Особняк в Хилковом переулке
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303902409/;Москва;sale;flat;12;12;3;81.2;64900000;2023;-1;-1;-1;-1;50,2 м²;6,1 м²;+79660513426;Сокол; Врубеля;4к1;Сокол;Врубеля 4
Dominanta;developer;https://www.cian.ru/sale/flat/300728860/;Москва;sale;flat;34;41;3;92.02;73984080;2024;-1;Монолитно-кирпичный;-1;Предчистовая;87 м²;-1;+74951374257;Раменки;1-й Сетуньский проезд;вл8;Кутузовская;Hide
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/302136723/;Москва;sale;flat;22;24;3;110.0;80000000;2017;-1;-1;-1;-1;75 м²;15 м²;+79645669743;Филевский парк;Береговой проезд;5Ак1;Фили;Фили Град
