author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/306272977/;Москва;sale;flat;19;21;3;130.4;159900000;-1;-1;-1;-1;-1;74 м²;46 м²;+79104534836;Пресненский;Лаки жилой квартал;;Улица 1905 года;Lucky
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/297761650/;Москва;sale;flat;2;13;3;120.0;160000000;2017;-1;-1;-1;-1;-1;5 м²;+79857943691;Пресненский;2-я Черногрязская ;6к2;Улица 1905 года;RedSide
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/308600410/;Москва;sale;flat;4;14;3;104.9;160000000;-1;-1;-1;-1;-1;-1;-1;+79660479279;Хамовники; Усачева;11;Спортивная;Садовые кварталы
ID 413522;realtor;https://www.cian.ru/sale/flat/308399553/;Москва;sale;flat;2;18;3;152.7;165000000;-1;-1;-1;-1;-1;-1;55 м²;+79852859563;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
MUST HAVE BURO;real_estate_agent;https://www.cian.ru/sale/flat/307575713/;Москва;sale;flat;2;7;3;146.8;168820000;2007;-1;-1;-1;-1;-1;39,8 м²;+79164298804;Пресненский;Хлыновский тупик;4;Арбатская;
CapitalEstate;real_estate_agent;https://www.cian.ru/sale/flat/308830822/;Москва;sale;flat;15;21;3;155.0;170000000;-1;-1;-1;-1;-1;123 м²;23 м²;+79168350127;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/286383532/;Москва;sale;flat;3;6;3;154.0;312783566;2006;-1;-1;-1;-1;114 м²;25 м²;+79652918238;Хамовники;переулок Коробейников;1;Парк Культуры;Кристалл Хаус
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/308644007/;Москва;sale;flat;4;5;3;219.4;317883613;2012;-1;-1;-1;-1;-1;-1;+79651951389;Хамовники; Остоженка;11;Кропоткинская;Остоженка 11
MUST HAVE BURO;real_estate_agent;https://www.cian.ru/sale/flat/280842956/;Москва;sale;flat;4;6;3;136.85;395000000;1903;-1;-1;-1;-1;-1;-1;+79164298804;Тверской; Большая Дмитровка;9С5;Театральная;Большая Дмитровка IX
