author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Агентство недвижимости Марии Тарасовой;real_estate_agent;https://www.cian.ru/sale/flat/302700624/;Москва;sale;flat;4;9;3;56.0;15650000;1975;-1;-1;-1;-1;41,4 м²;5,5 м²;+79660513201;Можайский; Гришина;10К2;Рабочий посёлок;
Самолет плюс Троицк;real_estate_agent;https://www.cian.ru/sale/flat/308059978/;Москва;sale;flat;9;12;3;71.2;15750000;-1;-1;-1;-1;-1;42,8 м²;11 м²;+79660472370;; 3-я Нововатутинская;8;Кедровая;Новые Ватутинки, мкр. Центральный
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/308711138/;Москва;sale;flat;14;19;3;89.2;16000000;2013;-1;-1;-1;-1;48 м²;23,1 м²;+79660540910;Молжаниновский;Синявинская ;11к9;;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/307362982/;Москва;sale;flat;11;12;3;64.2;16400000;1974;-1;-1;-1;-1;45,1 м²;6,6 м²;+79645387122;Зюзино;Балаклавский проспект;46А;Зюзино;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/305048496/;Москва;sale;flat;1;5;3;81.5;16400000;1996;-1;-1;-1;-1;56,2 м²;13 м²;+79660621056;Выхино-Жулебино;Привольная ;49К2;Жулебино;
Анастасия Ванюшина;realtor;https://www.cian.ru/sale/flat/308125603/;Москва;sale;flat;4;9;3;60.0;16500000;-1;-1;-1;-1;-1;44 м²;6 м²;+79645539126;Чертаново Южное;Дорожная ;16К3;Покровское;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/304346528/;Москва;sale;flat;9;16;3;103.4;20000000;2000;-1;-1;-1;-1;54,6 м²;11 м²;+79168789315;Южное Бутово;Скобелевская ;23К4;Улица Скобелевская;
Главстрой;developer;https://www.cian.ru/sale/flat/296871940/;Москва;sale;flat;2;30;3;68.0;20025660;2027;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;37,3 м²;14,6 м²;+74951346258;Рязанский;Рязанский проспект;;Окская;balance
