author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Самолет Плюс;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/308454269/;Московская Область;sale;flat;4;5;3;50.1;6350000;-1;-1;-1;-1;-1;39 м²;6 м²;+79660593207;Солнечногорск; Баранова;44;;
Homeapp;real_estate_agent;https://odintsovo.cian.ru/sale/flat/305921270/;Московская Область;sale;flat;15;16;3;95.3;16250000;2015;-1;-1;-1;-1;51 м²;12,5 м²;+79857048937;;;;;Горки-Фаворит
Основа;developer;https://lyubertsy.cian.ru/sale/flat/300113927/;Московская Область;sale;flat;15;25;3;75.7;18016600;2025;-1;Монолитный;-1;Без отделки, предчистовая, черновая;44,4 м²;13,6 м²;+74951374135;;;;Лухмановская;Гоголь Парк ЖК
МИЭЛЬ офис В Солнечногорске;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/275594945/;Московская Область;sale;flat;1;12;3;62.0;6490000;-1;-1;-1;-1;-1;40 м²;7 м²;+79197694657;Солнечногорск;Красная ;133;;
СОВКОМБАНК;official_representative;https://mytishchi.cian.ru/sale/flat/306776505/;Московская Область;sale;flat;10;15;3;107.9;17500000;2001;-1;-1;-1;-1;69 м²;12 м²;+79660512006;; 3-я Крестьянская;12к1;Медведково;
Цитадель;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308674640/;Московская Область;sale;flat;5;17;3;85.8;14459000;2016;-1;-1;-1;-1;54 м²;11,6 м²;+79165385537;; Кадомцева;4;Медведково;Новое Медведково
