author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570150/;Московская Область;sale;flat;3;25;3;63.09;14220000;2026;-1;Монолитный;-1;Черновая, чистовая;38,5 м²;6,3 м²;+74951387073;;;;Медведково;Страна.Парковая ЖК
КЛЕВЕР;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/294373218/;Московская Область;sale;flat;5;5;3;62.0;7300000;-1;-1;-1;-1;-1;37,7 м²;7,5 м²;+79166018570;Солнечногорск;Ленинградская ;6;;
ID 121963466;homeowner;https://losino-petrovskiy.cian.ru/sale/flat/307527218/;Московская Область;sale;flat;8;14;3;80.6;7990000;1989;-1;-1;-1;-1;62 м²;15 м²;+79854319321;;;;;
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/296473706/;Московская Область;sale;flat;23;25;3;72.04;18954380;2025;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;40,6 м²;12,7 м²;+74951384678;;;;Медведково;Кит 2 ЖК
АБ Риэлти;real_estate_agent;https://odintsovo.cian.ru/sale/flat/304394134/;Московская Область;sale;flat;24;27;3;78.5;14450000;2018;-1;-1;-1;-1;47,7 м²;16 м²;+79160853740;; Верхне-Пролетарская;7;Одинцово;
Homeapp;real_estate_agent;https://odintsovo.cian.ru/sale/flat/305921270/;Московская Область;sale;flat;15;16;3;95.3;16250000;2015;-1;-1;-1;-1;51 м²;12,5 м²;+79857048937;;;;;Горки-Фаворит
