author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Самолет;developer;https://vidnoye.cian.ru/sale/flat/308912827/;Московская Область;sale;flat;17;17;3;78.52;11382102;2025;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;41,3 м²;12,5 м²;+74951377321;;;;;Горки Парк
;;https://krasnogorsk.cian.ru/sale/flat/308452568/;Московская Область;sale;flat;5;6;3;63.39;11404836;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;-1;-1;+74992851475;с. Николо-Урюпино; Сергея Жадобкина;12;;Аникеевский
;;https://pushkino.cian.ru/sale/flat/308805034/;Московская Область;sale;flat;26;28;3;61.5;11439000;2026;-1;-1;-1;-1;-1;-1;+74992858963;;Писаревская ;;Медведково;7 небо
ID 115618960;homeowner;https://mytishchi.cian.ru/sale/flat/305533551/;Московская Область;sale;flat;3;9;3;76.0;11300000;2017;-1;-1;-1;-1;-1;11 м²;+79685127957;д. Пирогово; Ильинского;3;;Пироговская Ривьера
RDI;developer;https://vidnoye.cian.ru/sale/flat/309019015/;Московская Область;sale;flat;3;9;3;85.8;11714000;2024;-1;-1;-1;С отделкой;-1;-1;+74996486371;;;;;Ново-Молоково
