author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Отрада Девелопмент;developer;https://krasnogorsk.cian.ru/sale/flat/308631078/;Московская Область;sale;flat;5;6;3;100.5;37001745;2027;-1;Монолитно-кирпичный;-1;-;38,4 м²;23,9 м²;+74951375002;д. Марьино; Заречная;;;Отрада на реке
e.Development;developer;https://odintsovo.cian.ru/sale/flat/307944236/;Московская Область;sale;flat;1;4;3;105.0;37872450;2023;-1;-1;-1;Без отделки;76,6 м²;6,9 м²;+74951374967;;;;;Клубный дом 
e.Development;developer;https://odintsovo.cian.ru/sale/flat/307944251/;Московская Область;sale;flat;1;4;3;108.5;39134865;2023;-1;-1;-1;Без отделки;77,2 м²;3,2 м²;+74951374967;;;;;Клубный дом 
ID 115241062;homeowner;https://dmitrov.cian.ru/sale/flat/300650470/;Московская Область;sale;flat;5;5;3;60.0;6000000;1977;-1;-1;-1;-1;45 м²;6 м²;+79672093618;Икша рп; Рабочая;11;;
