author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Отрада Девелопмент;developer;https://krasnogorsk.cian.ru/sale/flat/306771261/;Московская Область;sale;flat;2;6;3;94.5;27211464;2027;-1;Монолитно-кирпичный;-1;-;38,7 м²;33,1 м²;+74951375002;д. Марьино; Заречная;;;Отрада на реке
ZIP Realty;real_estate_agent;https://odintsovo.cian.ru/sale/flat/305147881/;Московская Область;sale;flat;3;6;3;99.3;30000000;-1;-1;-1;-1;-1;35 м²;25 м²;+79856120994;с. Ромашково;проезд Рублевский;40к6;;Ромашково
ЖилСтрой;developer;https://khimki.cian.ru/sale/flat/306030632/;Московская Область;sale;flat;1;17;3;80.74;20924404;2025;-1;Монолитный;-1;Без отделки;-1;-1;+74951345786;;;;Планерная;Планерный квартал ЖК
Гильдия Риэлторов Москвы;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/307634429/;Московская Область;sale;flat;23;25;3;83.8;9200000;2019;-1;-1;-1;-1;-1;15 м²;+79169248463;д. Голубое;проезд Сургутский;1к3;;Первый Зеленоградский
1-й ДСК;developer;https://khimki.cian.ru/sale/flat/308909909/;Московская Область;sale;flat;3;17;3;70.4;15171200;2027;-1;Панельный;-1;Предчистовая, чистовая;36,7 м²;13,1 м²;+74951374185;;;;Подрезково;1-й Шереметьевский
Метражи group;real_estate_agent;https://korolev.cian.ru/sale/flat/298334984/;Московская Область;sale;flat;9;14;3;61.0;10300000;1988;-1;-1;-1;-1;47 м²;8,5 м²;+79886027322;;проспект Космонавтов;39;Медведково;
1-й ДСК;developer;https://khimki.cian.ru/sale/flat/300078712/;Московская Область;sale;flat;15;17;3;74.9;15017450;2027;-1;Панельный;-1;Предчистовая, чистовая;34,5 м²;15,3 м²;+74951374185;;;;Подрезково;1-й Шереметьевский
CENTURY 21 Столичная недвижимость;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/308782221/;Московская Область;sale;flat;2;5;3;57.5;10650000;1969;-1;-1;-1;-1;42,4 м²;6 м²;+79852420415;;;;;
DOGMA;developer;https://reutov.cian.ru/sale/flat/308029845/;Московская Область;sale;flat;13;25;3;92.67;18283800;2027;-1;Монолитно-кирпичный;-1;Без отделки;51,1 м²;10,8 м²;+74951377142;;;;Новокосино;EVO
Этажи Москва;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308294299/;Московская Область;sale;flat;16;17;3;75.5;11800000;2018;-1;-1;-1;-1;-1;10 м²;+79690641310;пос. Мирный; Свободы;3;;Томилино Парк
DOGMA;developer;https://reutov.cian.ru/sale/flat/302339150/;Московская Область;sale;flat;9;25;3;92.67;18057300;2026;-1;Монолитно-кирпичный;-1;Без отделки;51,1 м²;10,8 м²;+74951377142;;;к4;Новокосино;Эво ЖК
Метражи group;real_estate_agent;https://ivanteyevka.cian.ru/sale/flat/306804665/;Московская Область;sale;flat;3;4;3;81.8;11900000;2010;-1;-1;-1;-1;45 м²;18 м²;+79850413268;;;;;
Резиденция 15;developer;https://vidnoye.cian.ru/sale/flat/302899233/;Московская Область;sale;flat;2;4;3;102.4;17934306;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;-1;-1;+74951387215;; Вишневая;;Битца;Резиденция 15
НДВ;real_estate_agent;https://sergiyev-posad.cian.ru/sale/flat/307943867/;Московская Область;sale;flat;17;17;3;99.3;14290000;-1;-1;-1;-1;-1;51,5 м²;12,5 м²;+79165727913;мкр. Северный;проспект Красной Армии;218;;
AFI Development;developer;https://odintsovo.cian.ru/sale/flat/308938523/;Московская Область;sale;flat;10;24;3;64.19;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая;38,5 м²;-1;+74951377140;;;;Одинцово;Одинбург
Метражи group;real_estate_agent;https://korolev.cian.ru/sale/flat/306381110/;Московская Область;sale;flat;8;17;3;80.4;14500000;2004;-1;-1;-1;-1;45 м²;13 м²;+79850413268;; Исаева;7;Медведково;
Дарья Савченко;realtor;https://khimki.cian.ru/sale/flat/292943597/;Московская Область;sale;flat;7;10;3;63.5;10800000;2016;-1;-1;-1;-1;-1;9 м²;+79660593230;; Германа Титова;12к1;Химки;Солнечная система
