author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
;;https://lyubertsy.cian.ru/sale/flat/307675000/;Московская Область;sale;flat;2;17;3;73.08;10962422;2026;-1;-1;-1;-1;-1;-1;+78005116552;;;;;Новотомилино
Монолит;developer;https://korolev.cian.ru/sale/flat/300573581/;Московская Область;sale;flat;2;8;3;66.4;10988000;2026;-1;-1;-1;Без отделки;42 м²;-1;+74951377532;;;;Щёлковская;КИНОКВАРТАЛ
PRO ОБМЕН;real_estate_agent;https://podolsk.cian.ru/sale/flat/305289419/;Московская Область;sale;flat;14;17;3;71.5;11000000;2010;-1;-1;-1;-1;-1;10 м²;+79857793272;; 43-й Армии;17а;Подольск;
R-invest;developer;https://shchyolkovo.cian.ru/sale/flat/308385046/;Московская Область;sale;flat;14;17;3;70.51;11124000;2024;-1;Монолитно-кирпичный;-1;Без отделки;40,5 м²;13,9 м²;+74996486935;;Полевая ;4А;Гольяново;Дом на Сиреневой
