author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ПРОФИ-ИНВЕСТ;developer;https://pushkino.cian.ru/sale/flat/307264001/;Московская Область;sale;flat;4;25;3;71.7;12669390;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;34,9 м²;13,1 м²;+74996481993;;;;Медведково;Фабрикант ЖК
;;https://mytishchi.cian.ru/sale/flat/308793782/;Московская Область;sale;flat;7;9;3;80.3;12659191;2023;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+78005116552;д. Пирогово; Ильинского;8к1;;Пироговская Ривьера
;;https://mytishchi.cian.ru/sale/flat/308793786/;Московская Область;sale;flat;8;9;3;89.1;12719690;2023;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+78005116552;д. Пирогово; Ильинского;8к1;;Пироговская Ривьера
;;https://mytishchi.cian.ru/sale/flat/308793831/;Московская Область;sale;flat;9;9;3;80.6;12691440;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+78005116552;д. Пирогово; Ильинского;8;;Пироговская Ривьера
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/294226098/;Московская Область;sale;flat;4;5;3;62.4;12729600;2023;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;57,4 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
ПИК;developer;https://kotelniki.cian.ru/sale/flat/305656472/;Московская Область;sale;flat;9;25;3;67.9;12900932;2025;-1;Панельный, монолитный;-1;Чистовая;34,1 м²;18,1 м²;+74951374339;;;9.1;Жулебино;Белая Дача Парк ЖК
